Hour,AT,BA,GR,HR,LV,PT,SI,SK
1,467.78286196967497,21.584563924677894,8.220676317805252,197.62915346916307,163.31973881395848,63.969315305772504,391.79016311258766,48.97555061624879
2,467.78286196967497,21.584563924677894,8.220676317805252,197.62915346916307,163.31973881395848,63.969315305772504,391.79016311258766,48.97555061624879
3,467.78286196967497,21.584563924677894,8.220676317805252,197.62915346916307,163.31973881395848,63.969315305772504,391.79016311258766,48.97555061624879
4,467.78286196967497,21.584563924677894,8.220676317805252,197.62915346916307,163.31973881395848,63.969315305772504,391.79016311258766,48.97555061624879
5,467.78286196967497,21.584563924677894,8.220676317805252,197.62915346916307,163.31973881395848,63.969315305772504,391.79016311258766,48.97555061624879
6,467.78286196967497,21.584563924677894,8.220676317805252,197.62915346916307,163.31973881395848,63.969315305772504,391.79016311258766,48.97555061624879
7,467.78286196967497,21.584563924677894,8.220676317805252,197.62915346916307,163.31973881395848,63.969315305772504,391.79016311258766,48.97555061624879
8,467.78286196967497,21.584563924677894,8.220676317805252,197.62915346916307,163.31973881395848,63.969315305772504,391.79016311258766,48.97555061624879
9,467.78286196967497,21.584563924677894,8.220676317805252,197.62915346916307,163.31973881395848,63.969315305772504,391.79016311258766,48.97555061624879
10,467.78286196967497,21.584563924677894,8.220676317805252,197.62915346916307,163.31973881395848,63.969315305772504,391.79016311258766,48.97555061624879
11,467.78286196967497,21.584563924677894,8.220676317805252,197.62915346916307,163.31973881395848,63.969315305772504,391.79016311258766,48.97555061624879
12,467.78286196967497,21.584563924677894,8.220676317805252,197.62915346916307,163.31973881395848,63.969315305772504,391.79016311258766,48.97555061624879
13,467.78286196967497,21.584563924677894,8.220676317805252,197.62915346916307,163.31973881395848,63.969315305772504,391.79016311258766,48.97555061624879
14,467.78286196967497,21.584563924677894,8.220676317805252,197.62915346916307,163.31973881395848,63.969315305772504,391.79016311258766,48.97555061624879
15,467.78286196967497,21.584563924677894,8.220676317805252,197.62915346916307,163.31973881395848,63.969315305772504,391.79016311258766,48.97555061624879
16,467.78286196967497,21.584563924677894,8.220676317805252,197.62915346916307,163.31973881395848,63.969315305772504,391.79016311258766,48.97555061624879
17,467.78286196967497,21.584563924677894,8.220676317805252,197.62915346916307,163.31973881395848,63.969315305772504,391.79016311258766,48.97555061624879
18,467.78286196967497,21.584563924677894,8.220676317805252,197.62915346916307,163.31973881395848,63.969315305772504,391.79016311258766,48.97555061624879
19,467.78286196967497,21.584563924677894,8.220676317805252,197.62915346916307,163.31973881395848,63.969315305772504,391.79016311258766,48.97555061624879
20,467.78286196967497,21.584563924677894,8.220676317805252,197.62915346916307,163.31973881395848,63.969315305772504,391.79016311258766,48.97555061624879
21,467.78286196967497,21.584563924677894,8.220676317805252,197.62915346916307,163.31973881395848,63.969315305772504,391.79016311258766,48.97555061624879
22,467.78286196967497,21.584563924677894,8.220676317805252,197.62915346916307,163.31973881395848,63.969315305772504,391.79016311258766,48.97555061624879
23,467.78286196967497,21.584563924677894,8.220676317805252,197.62915346916307,163.31973881395848,63.969315305772504,391.79016311258766,48.97555061624879
24,467.78286196967497,21.584563924677894,8.220676317805252,197.62915346916307,163.31973881395848,63.969315305772504,391.79016311258766,48.97555061624879
